search_term,text,href,company_text,location_text,datetime,time_ago
Data Engineer,Senior Data Management Engineer  Antam,https://www.jobstreet.co.id/en/job/senior-data-management-engineer-antam-1037213002,PT Aneka Tambang Tbk,Sorong,2023-10-17 16:00:00,19d ago
Data Engineer,IT Data Governance Operation Specialist,https://www.jobstreet.co.id/en/job/it-data-governance-operation-specialist-1037268553,PT Bank Jago Tbk,Papua,2023-10-25 16:00:00,11d ago
Data Engineer,Data Engineer,https://www.jobstreet.co.id/en/job/data-engineer-1037175401,Lion Parcel,Jakarta Raya,2023-10-11 16:00:00,25d ago
Data Engineer,Senior Data Engineer,https://www.jobstreet.co.id/en/job/senior-data-engineer-1037174863,Cloud Kinetics Technology Solutions Private Ltd,Jakarta Raya,2023-10-11 16:00:00,25d ago
Data Engineer,Associate Data Engineer,https://www.jobstreet.co.id/en/job/associate-data-engineer-1037165331,PT Mid Solusi Nusantara,Indonesia,2023-10-10 16:00:00,26d ago
Data Engineer,Freelance Data Engineer - Python,https://www.jobstreet.co.id/en/job/freelance-data-engineer-python-1037153666,PT Teknologi Kode Indonesia,Jakarta Raya,2023-10-09 16:00:00,27d ago
Data Engineer,Data Engineer,https://www.jobstreet.co.id/en/job/data-engineer-1037143468,Sinarmas Mining,Jakarta Raya,2023-10-08 16:00:00,28d ago
Data Engineer,BI Analyst,https://www.jobstreet.co.id/en/job/bi-analyst-1037185338,PT Astra International Tbk,Jakarta Raya,2023-10-12 16:00:00,24d ago
Data Engineer,BI Analyst Team Lead,https://www.jobstreet.co.id/en/job/bi-analyst-team-lead-1037185234,PT Astra International Tbk,Jakarta Raya,2023-10-12 16:00:00,24d ago
Data Engineer,Data Analyst,https://www.jobstreet.co.id/en/job/data-analyst-1037153745,PT Lunaria Annua Teknologi (KoinWorks),Jakarta Raya,2023-10-09 16:00:00,27d ago
